"Time"	"0 Si2"
231.53152	-49.757813
231.53208	-50.040527
231.53264	-49.946289
231.5332	-49.852051
231.53376	-49.946289
231.53432	-49.852051
231.53488	-49.852051
231.53544	-49.757813
231.536	-49.663574
231.53656	-49.852051
231.53712	-49.757813
231.53768	-49.663574
231.53824	-49.757813
231.5388	-49.852051
231.53936	-49.757813
231.53992	-49.757813
231.54048	-49.475098
231.54104	-49.757813
231.5416	-49.663574
231.54216	-49.569336
231.54272	-49.663574
231.54328	-49.946289
231.54384	-50.040527
231.5444	-49.946289
231.54496	-49.852051
231.54552	-49.757813
231.54608	-49.946289
231.54664	-49.757813
231.5472	-49.946289
231.54776	-49.852051
231.54832	-49.757813
231.54888	-49.852051
231.54944	-49.852051
231.55	-49.663574
231.55056	-49.852051
231.55112	-49.569336
231.55168	-49.663574
231.55224	-49.475098
231.5528	-49.475098
231.55336	-49.475098
231.55392	-49.475098
231.55448	-49.569336
231.55504	-49.475098
231.5556	-49.569336
231.55616	-49.380859
231.55672	-49.475098
231.55728	-49.380859
231.55784	-49.286621
231.5584	-49.380859
231.55896	-49.286621
231.55952	-49.380859
231.56008	-49.475098
231.56064	-49.475098
231.5612	-49.663574
231.56176	-49.569336
231.56232	-49.475098
231.56288	-49.286621
231.56344	-49.286621
231.564	-49.192383
231.56456	-49.286621
231.56512	-49.286621
231.56568	-49.286621
231.56624	-49.286621
231.5668	-49.380859
231.56736	-49.286621
231.56792	-49.192383
231.56848	-49.098145
231.56904	-49.003906
231.5696	-49.098145
231.57016	-49.003906
231.57072	-49.098145
231.57128	-49.192383
231.57184	-49.003906
231.5724	-49.098145
231.57296	-49.098145
231.57352	-49.098145
231.57408	-49.098145
231.57464	-49.098145
231.5752	-49.098145
231.57576	-49.098145
231.57632	-49.286621
231.57688	-49.286621
231.57744	-49.475098
231.578	-49.380859
231.57856	-49.569336
231.57912	-49.475098
231.57968	-49.380859
231.58024	-49.569336
231.5808	-49.475098
231.58136	-49.475098
231.58192	-49.663574
231.58248	-49.946289
231.58304	-49.757813
231.5836	-49.852051
231.58416	-49.852051
231.58472	-49.852051
231.58528	-49.663574
231.58584	-49.757813
231.5864	-49.852051
231.58696	-49.757813
231.58752	-50.040527
231.58808	-50.040527
231.58864	-50.040527
231.5892	-50.134766
231.58976	-50.134766
231.59032	-50.040527
231.59088	-50.134766
231.59144	-50.134766
231.592	-50.41748
231.59256	-50.229004
231.59312	-50.41748
231.59368	-50.700195
231.59424	-50.511719
231.5948	-50.605957
231.59536	-50.511719
231.59592	-50.605957
